start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2014-04-15 00:01,6209,2014-04-15 00:18,6436,1061,1
2014-04-15 00:01,6214,2014-04-15 00:11,6248,615,1
2014-04-15 00:01,6164,2014-04-15 00:18,6216,1031,1
2014-04-15 00:01,6214,2014-04-15 00:24,6082,1382,1
2014-04-15 00:02,6149,2014-04-15 00:08,6265,347,1
2014-04-15 00:05,6214,2014-04-15 00:08,6211,167,1
2014-04-17 23:58,6134,2014-04-18 00:15,6134,979,1
2014-04-17 23:58,6277,2014-04-18 00:09,6276,662,1
2014-04-17 23:58,6100,2014-04-18 00:02,6088,233,1
2014-04-17 23:58,6138,2014-04-18 00:05,6113,374,1
2014-04-17 23:59,6215,2014-04-18 00:11,6908,736,1
2014-04-17 23:59,6088,2014-04-18 00:13,6104,827,1
